ims_id,TRX_Qty,trgt_flg,cal_dt
723025,67.6,N,8/1/2012 0:00
723098,80.47,N,5/1/2012 0:00
723098,76.17,N,8/1/2012 0:00
723098,0,N,9/1/2012 0:00
723098,76.92,N,10/1/2012 0:00
723098,0,N,11/1/2012 0:00
723098,68.05,N,12/1/2012 0:00
723113,66.39,Y,6/1/2012 0:00
732670,84.17,Y,5/1/2012 0:00
732670,86.53,Y,6/1/2012 0:00
732670,88.02,Y,7/1/2012 0:00
732670,83.75,Y,8/1/2012 0:00
732670,77.72,Y,9/1/2012 0:00
732670,78.32,Y,10/1/2012 0:00
732670,134.83,Y,11/1/2012 0:00
732670,152.52,Y,12/1/2012 0:00
795981,77.82,Y,2/1/2012 0:00
795981,0,Y,12/1/2012 0:00
796443,98.82,N,1/1/2012 0:00
796443,94.11,N,2/1/2012 0:00
796443,119.2,N,3/1/2012 0:00
796443,142.39,N,6/1/2012 0:00
803799,68.13,Y,1/1/2012 0:00
803799,62.46,Y,5/1/2012 0:00
803799,61.78,Y,7/1/2012 0:00
803799,61.93,Y,8/1/2012 0:00
787080,65.18,Y,4/1/2012 0:00
787080,63.63,Y,5/1/2012 0:00
787080,130.29,Y,6/1/2012 0:00
787080,128.1,Y,7/1/2012 0:00
787080,30.95,Y,8/1/2012 0:00
787080,127.04,Y,9/1/2012 0:00
787080,128.41,Y,10/1/2012 0:00
787080,62.67,Y,11/1/2012 0:00
787080,62.41,Y,12/1/2012 0:00
813157,263.01,Y,1/1/2012 0:00
813157,33.19,Y,7/1/2012 0:00
813157,141.95,Y,8/1/2012 0:00
813157,0,Y,9/1/2012 0:00
813157,32.36,Y,10/1/2012 0:00
813157,76.21,Y,11/1/2012 0:00
813157,0,Y,12/1/2012 0:00
813951,65.39,Y,1/1/2012 0:00
813951,257.01,Y,3/1/2012 0:00
813951,60.79,Y,4/1/2012 0:00
813951,69.45,Y,5/1/2012 0:00
813951,264.2,Y,6/1/2012 0:00
813951,60.76,Y,7/1/2012 0:00
813951,60.62,Y,8/1/2012 0:00
813951,253.62,Y,9/1/2012 0:00
813951,127.38,Y,10/1/2012 0:00
813951,60.66,Y,11/1/2012 0:00
813951,503.41,Y,12/1/2012 0:00
815071,62.04,N,12/1/2012 0:00
857591,67.26,Y,1/1/2012 0:00
857591,72.49,Y,2/1/2012 0:00
857591,71.02,Y,3/1/2012 0:00
857591,72.88,Y,4/1/2012 0:00
857591,77.73,Y,5/1/2012 0:00
857591,75.58,Y,6/1/2012 0:00
857591,73.38,Y,7/1/2012 0:00
857591,72.75,Y,8/1/2012 0:00
857591,68.18,Y,9/1/2012 0:00
857591,71.02,Y,10/1/2012 0:00
857591,69.9,Y,11/1/2012 0:00
857591,69.16,Y,12/1/2012 0:00
1162648,131.97,Y,1/1/2012 0:00
1162648,72.29,Y,2/1/2012 0:00
1162648,74.02,Y,3/1/2012 0:00
1162648,257.12,Y,4/1/2012 0:00
1162648,81.99,Y,5/1/2012 0:00
1162648,164.29,Y,6/1/2012 0:00
1162648,80.01,Y,9/1/2012 0:00
1162648,0,Y,10/1/2012 0:00
1162648,0,Y,11/1/2012 0:00
1229979,42.26,N,9/1/2012 0:00
1229979,74.94,N,10/1/2012 0:00
1229979,78.92,N,11/1/2012 0:00
1229979,0,N,12/1/2012 0:00
1230124,70.03,Y,1/1/2012 0:00
1230124,205.78,Y,2/1/2012 0:00
1230124,254.67,Y,3/1/2012 0:00
1230124,153.11,Y,4/1/2012 0:00
1230124,258.94,Y,5/1/2012 0:00
1230124,229.83,Y,6/1/2012 0:00
1230124,189.56,Y,7/1/2012 0:00
1230124,104.44,Y,8/1/2012 0:00
1230124,173.63,Y,9/1/2012 0:00
1230124,97.65,Y,10/1/2012 0:00
1230124,220.47,Y,11/1/2012 0:00
1230124,114.62,Y,12/1/2012 0:00
1272680,75.15,Y,3/1/2012 0:00
1272680,81.59,Y,5/1/2012 0:00
1272680,74.69,Y,6/1/2012 0:00
1272680,69.82,Y,9/1/2012 0:00
1272680,0,Y,10/1/2012 0:00
1272680,0,Y,11/1/2012 0:00
1272680,72.45,Y,12/1/2012 0:00
1596606,0,N,9/1/2012 0:00
1596606,0,N,10/1/2012 0:00
1596606,68.8,N,11/1/2012 0:00
1596606,0,N,12/1/2012 0:00
1597171,145.17,Y,2/1/2012 0:00
1597171,69.19,Y,5/1/2012 0:00
1597171,66.99,Y,9/1/2012 0:00
1597171,0,Y,10/1/2012 0:00
1597171,0,Y,11/1/2012 0:00
1341267,75.34,Y,9/1/2012 0:00
1341267,0,Y,10/1/2012 0:00
1341267,0,Y,11/1/2012 0:00
1614153,62.82,Y,1/1/2012 0:00
1614153,63.46,Y,2/1/2012 0:00
1614153,62.68,Y,3/1/2012 0:00
1614153,63.66,Y,5/1/2012 0:00
1614153,128.37,Y,6/1/2012 0:00
1614153,62.37,Y,7/1/2012 0:00
1614153,190.65,Y,8/1/2012 0:00
1614153,62.36,Y,9/1/2012 0:00
1614153,127.32,Y,10/1/2012 0:00
1614153,188.79,Y,11/1/2012 0:00
1614153,126.64,Y,12/1/2012 0:00
1624052,73.27,Y,2/1/2012 0:00
1624052,70.2,Y,3/1/2012 0:00
1696565,62.54,N,8/1/2012 0:00
1696565,63.37,N,9/1/2012 0:00
1696565,63.39,N,10/1/2012 0:00
1696565,63.04,N,11/1/2012 0:00
1696565,0,N,12/1/2012 0:00
1592727,61.86,N,1/1/2012 0:00
1592727,66.18,N,7/1/2012 0:00
1569592,0,N,9/1/2012 0:00
1569592,74.83,N,10/1/2012 0:00
1569592,0,N,11/1/2012 0:00
1569592,0,N,12/1/2012 0:00
1571617,64.88,N,1/1/2012 0:00
1571617,71.92,N,7/1/2012 0:00
1572259,68.54,N,5/1/2012 0:00
1574120,63.04,Y,1/1/2012 0:00
1574120,64.71,Y,2/1/2012 0:00
1574120,62.88,Y,3/1/2012 0:00
1574120,125.48,Y,4/1/2012 0:00
1574120,192.18,Y,5/1/2012 0:00
1575144,65.12,N,7/1/2012 0:00
1575144,63.59,N,12/1/2012 0:00
